Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.597093750000000074e-06,7.214446783441417210e+01,2.587446173094730129e-01
2.597101562000000037e-06,7.225311478404825039e+01,2.586275386826306089e-01
2.597109374999999897e-06,7.235938393584279993e+01,2.585105509943350643e-01
2.597117186999999859e-06,7.246300261466684844e+01,2.583936840478671115e-01
2.597125000000000143e-06,7.256370288774374444e+01,2.582769077799580426e-01
2.597132812000000105e-06,7.266122154648360265e+01,2.581602519402999563e-01
2.597140624999999965e-06,7.275530010574280482e+01,2.580436865201884422e-01
2.597148436999999928e-06,7.284568482403797418e+01,2.579272412158458150e-01
2.597156249999999788e-06,7.293212675573819581e+01,2.578108860729897978e-01
2.597164061999999750e-06,7.301438183789821323e+01,2.576946507345292403e-01
2.597171875000000034e-06,7.309221101813872679e+01,2.575785053004431835e-01
2.597179686999999996e-06,7.316538043126844570e+01,2.574624793604829431e-01
2.597187500000000280e-06,7.323366163040823551e+01,2.573465430687413846e-01
2.597195312000000242e-06,7.329683187397645838e+01,2.572307259619422415e-01
2.597203125000000102e-06,7.335467447895615578e+01,2.571149982481576446e-01
2.597210937000000065e-06,7.340697923946859760e+01,2.569993894112134192e-01
2.597218749999999925e-06,7.345354291887717579e+01,2.568838697130147453e-01
2.597226561999999887e-06,7.349416981409812877e+01,2.567684685846436943e-01
2.597234375000000171e-06,7.352867239818066025e+01,2.566531563416796224e-01
2.597242187000000133e-06,7.355687203898219195e+01,2.565379623626147243e-01
2.597249999999999993e-06,7.357859979727059851e+01,2.564228570165636434e-01
2.597257811999999956e-06,7.359369730025126444e+01,2.563078696295442160e-01
2.597265624999999816e-06,7.360201769078372536e+01,2.561929706240674842e-01
2.597273436999999778e-06,7.360342664491898290e+01,2.560781892738294707e-01
2.597281250000000062e-06,7.359780345748548314e+01,2.559634960545811855e-01
2.597289062000000024e-06,7.358504218169640865e+01,2.558489201878489383e-01
2.597296875000000308e-06,7.356505282060132345e+01,2.557344322024796557e-01
2.597304687000000270e-06,7.353776255309213639e+01,2.556200612679567774e-01
2.597312500000000130e-06,7.350311698599709587e+01,2.555057779660919182e-01
